split,risk_budget,method,seed,episodes,coverage,fixed_risk_success,false_safe_rate,action_success
adversarial_language_vision_trap,0.00,counterfactual_material_filter,1,32,0.00000,0.00000,0.00000,0.46875
adversarial_language_vision_trap,0.00,counterfactual_material_filter,2,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.00,counterfactual_material_filter,3,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.00,counterfactual_material_filter,4,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.00,counterfactual_material_filter,5,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.00,counterfactual_material_filter,6,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.00,counterfactual_material_filter,7,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.00,counterfactual_material_filter,8,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.00,counterfactual_material_filter,9,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,0,32,0.00000,0.00000,0.00000,0.59375
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,1,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,2,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,3,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,4,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,5,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,6,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,7,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,8,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,9,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.02,passive_tactile_classifier,0,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.02,passive_tactile_classifier,1,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.02,passive_tactile_classifier,2,32,0.00000,0.00000,0.00000,0.28125
adversarial_language_vision_trap,0.02,passive_tactile_classifier,3,32,0.00000,0.00000,0.00000,0.28125
adversarial_language_vision_trap,0.02,passive_tactile_classifier,4,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,passive_tactile_classifier,5,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,passive_tactile_classifier,6,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.02,passive_tactile_classifier,7,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,passive_tactile_classifier,8,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.02,passive_tactile_classifier,9,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.02,strong_tactile_then_policy,0,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,strong_tactile_then_policy,1,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.02,strong_tactile_then_policy,2,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,strong_tactile_then_policy,3,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.02,strong_tactile_then_policy,4,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.02,strong_tactile_then_policy,5,32,0.00000,0.00000,0.00000,0.15625
adversarial_language_vision_trap,0.02,strong_tactile_then_policy,6,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.02,strong_tactile_then_policy,7,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.02,strong_tactile_then_policy,8,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,strong_tactile_then_policy,9,32,0.00000,0.00000,0.00000,0.18750
adversarial_language_vision_trap,0.02,risk_aware_touch_policy,0,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.02,risk_aware_touch_policy,1,32,0.00000,0.00000,0.00000,0.46875
adversarial_language_vision_trap,0.02,risk_aware_touch_policy,2,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,risk_aware_touch_policy,3,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.02,risk_aware_touch_policy,4,32,0.00000,0.00000,0.00000,0.46875
adversarial_language_vision_trap,0.02,risk_aware_touch_policy,5,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,risk_aware_touch_policy,6,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.02,risk_aware_touch_policy,7,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.02,risk_aware_touch_policy,8,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,risk_aware_touch_policy,9,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,calibrated_debt_threshold,0,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.02,calibrated_debt_threshold,1,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.02,calibrated_debt_threshold,2,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.02,calibrated_debt_threshold,3,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.02,calibrated_debt_threshold,4,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,calibrated_debt_threshold,5,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.02,calibrated_debt_threshold,6,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,calibrated_debt_threshold,7,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,calibrated_debt_threshold,8,32,0.00000,0.00000,0.00000,0.28125
adversarial_language_vision_trap,0.02,calibrated_debt_threshold,9,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,counterfactual_material_filter,0,32,0.00000,0.00000,0.00000,0.50000
adversarial_language_vision_trap,0.02,counterfactual_material_filter,1,32,0.00000,0.00000,0.00000,0.46875
adversarial_language_vision_trap,0.02,counterfactual_material_filter,2,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,counterfactual_material_filter,3,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,counterfactual_material_filter,4,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.02,counterfactual_material_filter,5,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,counterfactual_material_filter,6,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,counterfactual_material_filter,7,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.02,counterfactual_material_filter,8,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.02,counterfactual_material_filter,9,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,0,32,0.00000,0.00000,0.00000,0.59375
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,1,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,2,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,3,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,4,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,5,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,6,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,7,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,8,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,9,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.05,passive_tactile_classifier,0,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.05,passive_tactile_classifier,1,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.05,passive_tactile_classifier,2,32,0.00000,0.00000,0.00000,0.28125
adversarial_language_vision_trap,0.05,passive_tactile_classifier,3,32,0.00000,0.00000,0.00000,0.28125
adversarial_language_vision_trap,0.05,passive_tactile_classifier,4,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,passive_tactile_classifier,5,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,passive_tactile_classifier,6,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.05,passive_tactile_classifier,7,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,passive_tactile_classifier,8,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.05,passive_tactile_classifier,9,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.05,strong_tactile_then_policy,0,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,strong_tactile_then_policy,1,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.05,strong_tactile_then_policy,2,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,strong_tactile_then_policy,3,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.05,strong_tactile_then_policy,4,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.05,strong_tactile_then_policy,5,32,0.00000,0.00000,0.00000,0.15625
adversarial_language_vision_trap,0.05,strong_tactile_then_policy,6,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.05,strong_tactile_then_policy,7,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.05,strong_tactile_then_policy,8,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,strong_tactile_then_policy,9,32,0.00000,0.00000,0.00000,0.18750
adversarial_language_vision_trap,0.05,risk_aware_touch_policy,0,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.05,risk_aware_touch_policy,1,32,0.03125,0.00000,0.03125,0.46875
adversarial_language_vision_trap,0.05,risk_aware_touch_policy,2,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,risk_aware_touch_policy,3,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.05,risk_aware_touch_policy,4,32,0.00000,0.00000,0.00000,0.46875
adversarial_language_vision_trap,0.05,risk_aware_touch_policy,5,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,risk_aware_touch_policy,6,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.05,risk_aware_touch_policy,7,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.05,risk_aware_touch_policy,8,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,risk_aware_touch_policy,9,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,calibrated_debt_threshold,0,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.05,calibrated_debt_threshold,1,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.05,calibrated_debt_threshold,2,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.05,calibrated_debt_threshold,3,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.05,calibrated_debt_threshold,4,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,calibrated_debt_threshold,5,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.05,calibrated_debt_threshold,6,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,calibrated_debt_threshold,7,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,calibrated_debt_threshold,8,32,0.00000,0.00000,0.00000,0.28125
adversarial_language_vision_trap,0.05,calibrated_debt_threshold,9,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,counterfactual_material_filter,0,32,0.00000,0.00000,0.00000,0.50000
adversarial_language_vision_trap,0.05,counterfactual_material_filter,1,32,0.00000,0.00000,0.00000,0.46875
adversarial_language_vision_trap,0.05,counterfactual_material_filter,2,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,counterfactual_material_filter,3,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,counterfactual_material_filter,4,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.05,counterfactual_material_filter,5,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,counterfactual_material_filter,6,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,counterfactual_material_filter,7,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.05,counterfactual_material_filter,8,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.05,counterfactual_material_filter,9,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,0,32,0.00000,0.00000,0.00000,0.59375
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,1,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,2,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,3,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,4,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,5,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,6,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,7,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,8,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,9,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.10,passive_tactile_classifier,0,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.10,passive_tactile_classifier,1,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.10,passive_tactile_classifier,2,32,0.00000,0.00000,0.00000,0.28125
adversarial_language_vision_trap,0.10,passive_tactile_classifier,3,32,0.00000,0.00000,0.00000,0.28125
adversarial_language_vision_trap,0.10,passive_tactile_classifier,4,32,0.03125,0.03125,0.00000,0.40625
adversarial_language_vision_trap,0.10,passive_tactile_classifier,5,32,0.03125,0.00000,0.03125,0.40625
adversarial_language_vision_trap,0.10,passive_tactile_classifier,6,32,0.03125,0.00000,0.03125,0.34375
adversarial_language_vision_trap,0.10,passive_tactile_classifier,7,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.10,passive_tactile_classifier,8,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.10,passive_tactile_classifier,9,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.10,strong_tactile_then_policy,0,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.10,strong_tactile_then_policy,1,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.10,strong_tactile_then_policy,2,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.10,strong_tactile_then_policy,3,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.10,strong_tactile_then_policy,4,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.10,strong_tactile_then_policy,5,32,0.00000,0.00000,0.00000,0.15625
adversarial_language_vision_trap,0.10,strong_tactile_then_policy,6,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.10,strong_tactile_then_policy,7,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.10,strong_tactile_then_policy,8,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.10,strong_tactile_then_policy,9,32,0.00000,0.00000,0.00000,0.18750
adversarial_language_vision_trap,0.10,risk_aware_touch_policy,0,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.10,risk_aware_touch_policy,1,32,0.12500,0.06250,0.06250,0.46875
adversarial_language_vision_trap,0.10,risk_aware_touch_policy,2,32,0.06250,0.00000,0.06250,0.31250
adversarial_language_vision_trap,0.10,risk_aware_touch_policy,3,32,0.03125,0.03125,0.00000,0.34375
adversarial_language_vision_trap,0.10,risk_aware_touch_policy,4,32,0.03125,0.00000,0.03125,0.46875
adversarial_language_vision_trap,0.10,risk_aware_touch_policy,5,32,0.03125,0.00000,0.03125,0.31250
adversarial_language_vision_trap,0.10,risk_aware_touch_policy,6,32,0.06250,0.06250,0.00000,0.34375
adversarial_language_vision_trap,0.10,risk_aware_touch_policy,7,32,0.06250,0.06250,0.00000,0.34375
adversarial_language_vision_trap,0.10,risk_aware_touch_policy,8,32,0.03125,0.00000,0.03125,0.31250
adversarial_language_vision_trap,0.10,risk_aware_touch_policy,9,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.10,calibrated_debt_threshold,0,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.10,calibrated_debt_threshold,1,32,0.03125,0.00000,0.03125,0.34375
adversarial_language_vision_trap,0.10,calibrated_debt_threshold,2,32,0.00000,0.00000,0.00000,0.21875
adversarial_language_vision_trap,0.10,calibrated_debt_threshold,3,32,0.03125,0.03125,0.00000,0.21875
adversarial_language_vision_trap,0.10,calibrated_debt_threshold,4,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.10,calibrated_debt_threshold,5,32,0.03125,0.00000,0.03125,0.21875
adversarial_language_vision_trap,0.10,calibrated_debt_threshold,6,32,0.03125,0.03125,0.00000,0.31250
adversarial_language_vision_trap,0.10,calibrated_debt_threshold,7,32,0.03125,0.03125,0.00000,0.31250
adversarial_language_vision_trap,0.10,calibrated_debt_threshold,8,32,0.00000,0.00000,0.00000,0.28125
adversarial_language_vision_trap,0.10,calibrated_debt_threshold,9,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.10,counterfactual_material_filter,0,32,0.00000,0.00000,0.00000,0.50000
adversarial_language_vision_trap,0.10,counterfactual_material_filter,1,32,0.03125,0.00000,0.03125,0.46875
adversarial_language_vision_trap,0.10,counterfactual_material_filter,2,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.10,counterfactual_material_filter,3,32,0.03125,0.03125,0.00000,0.31250
adversarial_language_vision_trap,0.10,counterfactual_material_filter,4,32,0.00000,0.00000,0.00000,0.37500
adversarial_language_vision_trap,0.10,counterfactual_material_filter,5,32,0.03125,0.00000,0.03125,0.31250
adversarial_language_vision_trap,0.10,counterfactual_material_filter,6,32,0.03125,0.03125,0.00000,0.31250
adversarial_language_vision_trap,0.10,counterfactual_material_filter,7,32,0.03125,0.03125,0.00000,0.37500
adversarial_language_vision_trap,0.10,counterfactual_material_filter,8,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.10,counterfactual_material_filter,9,32,0.00000,0.00000,0.00000,0.40625
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,0,32,0.00000,0.00000,0.00000,0.59375
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,1,32,0.06250,0.00000,0.06250,0.43750
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,2,32,0.00000,0.00000,0.00000,0.31250
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,3,32,0.03125,0.03125,0.00000,0.40625
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,4,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,5,32,0.00000,0.00000,0.00000,0.43750
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,6,32,0.03125,0.03125,0.00000,0.40625
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,7,32,0.03125,0.03125,0.00000,0.40625
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,8,32,0.00000,0.00000,0.00000,0.34375
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,9,32,0.00000,0.00000,0.00000,0.37500
